id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1659229,1367016.0,0.0,359400,1021.0,20
w0!1659230,1367391.0,0.0,359400,646.0,16
 
Fila Jobs n:,22,Size:,2,Current time:,2334016.0
w0!1661277,2333965.0,0.0,1200,180051.0,20
w0!1661278,2334016.0,0.0,1200,180000.0,20
 
Fila Jobs n:,23,Size:,3,Current time:,2335873.0
w0!1661277,2333965.0,0.0,1200,181908.0,20
w0!1661278,2334016.0,0.0,1200,181857.0,20
w0!1661280,2335873.0,0.0,1200,180000.0,1
 
Fila Jobs n:,24,Size:,4,Current time:,2336308.0
w0!1661277,2333965.0,0.0,1200,182343.0,20
w0!1661278,2334016.0,0.0,1200,182292.0,20
w0!1661280,2335873.0,0.0,1200,180435.0,1
w0!1661282,2336308.0,0.0,3600,60000.0,1
 
Fila Jobs n:,25,Size:,4,Current time:,2337026.8
w0!1661277,2333965.0,0.0,1200,183062.0,20
w0!1661278,2334016.0,0.0,1200,183011.0,20
w0!1661280,2335873.0,0.0,1200,181154.0,1
w0!1661282,2336308.0,0.0,3600,60719.0,1
 
Fila Jobs n:,26,Size:,3,Current time:,2337075.5
w0!1661278,2334016.0,0.0,1200,183060.0,20
w0!1661280,2335873.0,0.0,1200,181202.0,1
w0!1661282,2336308.0,0.0,3600,60768.0,1
 
Fila Jobs n:,27,Size:,2,Current time:,2927261.0
w0!1662267,2926348.0,0.0,359400,1514.0,20
w0!1662269,2927261.0,57.0,359400,493081.0,20
 
Fila Jobs n:,28,Size:,3,Current time:,2929708.0
w0!1662267,2926348.0,0.0,359400,3961.0,20
w0!1662269,2927261.0,57.0,359400,495528.0,20
w0!1662272,2929708.0,60.0,359400,519001.0,20
 
Fila Jobs n:,29,Size:,4,Current time:,2932187.0
w0!1662267,2926348.0,0.0,359400,6440.0,20
w0!1662269,2927261.0,57.0,359400,498007.0,20
w0!1662272,2929708.0,60.0,359400,521480.0,20
w0!1662277,2932187.0,0.0,43200,5000.0,20
 
Fila Jobs n:,30,Size:,5,Current time:,2933615.0
w0!1662267,2926348.0,0.0,359400,7868.0,20
w0!1662269,2927261.0,57.0,359400,499435.0,20
w0!1662272,2929708.0,60.0,359400,522908.0,20
w0!1662277,2932187.0,0.0,43200,6428.0,20
w0!1662285,2933615.0,0.0,46800,4615.0,1
 
Fila Jobs n:,31,Size:,5,Current time:,2950202.2
w0!1662267,2926348.0,0.0,359400,24455.0,20
w0!1662269,2927261.0,57.0,359400,516022.0,20
w0!1662272,2929708.0,60.0,359400,539495.0,20
w0!1662277,2932187.0,0.0,43200,23015.0,20
w0!1662285,2933615.0,0.0,46800,21203.0,1
 
Fila Jobs n:,32,Size:,4,Current time:,2954285.4
w0!1662269,2927261.0,57.0,359400,520105.0,20
w0!1662272,2929708.0,60.0,359400,543578.0,20
w0!1662277,2932187.0,0.0,43200,27098.0,20
w0!1662285,2933615.0,0.0,46800,25286.0,1
 
Fila Jobs n:,33,Size:,4,Current time:,2954986.0
w0!1662272,2929708.0,60.0,359400,544279.0,20
w0!1662277,2932187.0,0.0,43200,27799.0,20
w0!1662285,2933615.0,0.0,46800,25986.0,1
w0!1662318,2954986.0,60.0,359400,519001.0,1
 
Fila Jobs n:,34,Size:,4,Current time:,2978767.6
w0!1662272,2929708.0,60.0,359400,568061.0,20
w0!1662277,2932187.0,0.0,43200,51581.0,20
w0!1662285,2933615.0,0.0,46800,49768.0,1
w0!1662318,2954986.0,60.0,359400,542783.0,1
 
Fila Jobs n:,35,Size:,3,Current time:,2978854.9
w0!1662277,2932187.0,0.0,43200,51668.0,20
w0!1662285,2933615.0,0.0,46800,49855.0,1
w0!1662318,2954986.0,60.0,359400,542870.0,1
 
Fila Jobs n:,36,Size:,2,Current time:,3107238.0
w0!1662686,3095667.0,60.0,1200,709971.0,28
w0!1662700,3107238.0,30.0,359400,259801.0,1
 
Fila Jobs n:,37,Size:,3,Current time:,3108107.0
w0!1662686,3095667.0,60.0,1200,710840.0,28
w0!1662700,3107238.0,30.0,359400,260670.0,1
w0!1662701,3108107.0,57.0,359400,493081.0,1
 
Fila Jobs n:,38,Size:,3,Current time:,3110169.3
w0!1662686,3095667.0,60.0,1200,712902.0,28
w0!1662700,3107238.0,30.0,359400,262732.0,1
w0!1662701,3108107.0,57.0,359400,495143.0,1
 
Fila Jobs n:,39,Size:,3,Current time:,3111318.2
w0!1662686,3095667.0,60.0,1200,714051.0,28
w0!1662700,3107238.0,30.0,359400,263881.0,1
w0!1662701,3108107.0,57.0,359400,496292.0,1
 
Fila Jobs n:,40,Size:,4,Current time:,3119976.0
w0!1662686,3095667.0,60.0,1200,722709.0,28
w0!1662700,3107238.0,30.0,359400,272539.0,1
w0!1662701,3108107.0,57.0,359400,504950.0,1
w0!1662708,3119976.0,0.0,359400,601.0,1
 
Fila Jobs n:,41,Size:,5,Current time:,3121455.0
w0!1662686,3095667.0,60.0,1200,724188.0,28
w0!1662700,3107238.0,30.0,359400,274018.0,1
w0!1662701,3108107.0,57.0,359400,506429.0,1
w0!1662708,3119976.0,0.0,359400,2080.0,1
w0!1662709,3121455.0,0.0,7200,30000.0,39
 
Fila Jobs n:,42,Size:,5,Current time:,3124807.2
w0!1662686,3095667.0,60.0,1200,727540.0,28
w0!1662700,3107238.0,30.0,359400,277370.0,1
w0!1662701,3108107.0,57.0,359400,509781.0,1
w0!1662708,3119976.0,0.0,359400,5432.0,1
w0!1662709,3121455.0,0.0,7200,33352.0,39
 
Fila Jobs n:,43,Size:,2,Current time:,3177981.0
w0!1662731,3176737.0,54.0,10910,487602.0,39
w0!1662734,3177981.0,36.0,359400,311641.0,1
 
Fila Jobs n:,44,Size:,2,Current time:,3179422.3
w0!1662731,3176737.0,54.0,10910,489044.0,39
w0!1662734,3177981.0,36.0,359400,313082.0,1
 
Fila Jobs n:,45,Size:,3,Current time:,3191722.0
w0!1662731,3176737.0,54.0,10910,501343.0,39
w0!1662734,3177981.0,36.0,359400,325382.0,1
w0!1662748,3191722.0,60.0,359400,519001.0,20
 
Fila Jobs n:,46,Size:,4,Current time:,3191804.0
w0!1662731,3176737.0,54.0,10910,501425.0,39
w0!1662734,3177981.0,36.0,359400,325464.0,1
w0!1662748,3191722.0,60.0,359400,519083.0,20
w0!1662749,3191804.0,57.0,359400,493081.0,1
 
Fila Jobs n:,47,Size:,5,Current time:,3196799.0
w0!1662731,3176737.0,54.0,10910,506420.0,39
w0!1662734,3177981.0,36.0,359400,330459.0,1
w0!1662748,3191722.0,60.0,359400,524078.0,20
w0!1662749,3191804.0,57.0,359400,498076.0,1
w0!1662763,3196799.0,51.0,359400,441241.0,1
 
Fila Jobs n:,48,Size:,5,Current time:,3199663.6
w0!1662731,3176737.0,54.0,10910,509285.0,39
w0!1662734,3177981.0,36.0,359400,333324.0,1
w0!1662748,3191722.0,60.0,359400,526943.0,20
w0!1662749,3191804.0,57.0,359400,500941.0,1
w0!1662763,3196799.0,51.0,359400,444106.0,1
 
Fila Jobs n:,49,Size:,4,Current time:,3210573.6
w0!1662734,3177981.0,36.0,359400,344234.0,1
w0!1662748,3191722.0,60.0,359400,537853.0,20
w0!1662749,3191804.0,57.0,359400,511851.0,1
w0!1662763,3196799.0,51.0,359400,455016.0,1
 
Fila Jobs n:,50,Size:,2,Current time:,3721455.0
w0!1663237,3711587.0,0.0,359400,10469.0,28
w0!1663252,3721455.0,0.0,359400,601.0,20
 
Fila Jobs n:,51,Size:,2,Current time:,3723090.4
w0!1663237,3711587.0,0.0,359400,12104.0,28
w0!1663252,3721455.0,0.0,359400,2236.0,20
 
Fila Jobs n:,52,Size:,2,Current time:,3780074.0
w0!1663258,3742434.0,15.0,359400,167841.0,20
w0!1663288,3780074.0,48.0,359400,415321.0,1
 
Fila Jobs n:,53,Size:,3,Current time:,3782014.0
w0!1663258,3742434.0,15.0,359400,169781.0,20
w0!1663288,3780074.0,48.0,359400,417261.0,1
w0!1663291,3782014.0,48.0,359400,415321.0,1
 
Fila Jobs n:,54,Size:,4,Current time:,3782328.0
w0!1663258,3742434.0,15.0,359400,170095.0,20
w0!1663288,3780074.0,48.0,359400,417575.0,1
w0!1663291,3782014.0,48.0,359400,415635.0,1
w0!1663293,3782328.0,48.0,359400,415321.0,1
 
Fila Jobs n:,55,Size:,5,Current time:,3784249.0
w0!1663258,3742434.0,15.0,359400,172016.0,20
w0!1663288,3780074.0,48.0,359400,419496.0,1
w0!1663291,3782014.0,48.0,359400,417556.0,1
w0!1663293,3782328.0,48.0,359400,417242.0,1
w0!1663298,3784249.0,12.0,3600,163680.0,20
 
Fila Jobs n:,56,Size:,6,Current time:,3784719.0
w0!1663258,3742434.0,15.0,359400,172486.0,20
w0!1663288,3780074.0,48.0,359400,419966.0,1
w0!1663291,3782014.0,48.0,359400,418026.0,1
w0!1663293,3782328.0,48.0,359400,417712.0,1
w0!1663298,3784249.0,12.0,3600,164150.0,20
w0!1663301,3784719.0,0.0,16200,13333.0,5
 
Fila Jobs n:,57,Size:,6,Current time:,3787282.2
w0!1663258,3742434.0,15.0,359400,175049.0,20
w0!1663288,3780074.0,48.0,359400,422529.0,1
w0!1663291,3782014.0,48.0,359400,420589.0,1
w0!1663293,3782328.0,48.0,359400,420275.0,1
w0!1663298,3784249.0,12.0,3600,166713.0,20
w0!1663301,3784719.0,0.0,16200,15897.0,5
 
Fila Jobs n:,58,Size:,3,Current time:,3792620.0
w0!1663298,3784249.0,12.0,3600,172051.0,20
w0!1663301,3784719.0,0.0,16200,21234.0,5
w0!1663316,3792620.0,0.0,359400,601.0,1
 
Fila Jobs n:,59,Size:,4,Current time:,3792906.0
w0!1663298,3784249.0,12.0,3600,172337.0,20
w0!1663301,3784719.0,0.0,16200,21520.0,5
w0!1663316,3792620.0,0.0,359400,887.0,1
w0!1663317,3792906.0,60.0,359400,519001.0,1
 
Fila Jobs n:,60,Size:,5,Current time:,3793407.0
w0!1663298,3784249.0,12.0,3600,172838.0,20
w0!1663301,3784719.0,0.0,16200,22021.0,5
w0!1663316,3792620.0,0.0,359400,1388.0,1
w0!1663317,3792906.0,60.0,359400,519502.0,1
w0!1663322,3793407.0,57.0,359400,493081.0,1
 
Fila Jobs n:,61,Size:,6,Current time:,3793453.0
w0!1663298,3784249.0,12.0,3600,172884.0,20
w0!1663301,3784719.0,0.0,16200,22067.0,5
w0!1663316,3792620.0,0.0,359400,1434.0,1
w0!1663317,3792906.0,60.0,359400,519548.0,1
w0!1663322,3793407.0,57.0,359400,493127.0,1
w0!1663323,3793453.0,54.0,1200,646560.0,20
 
Fila Jobs n:,62,Size:,7,Current time:,3793861.0
w0!1663298,3784249.0,12.0,3600,173292.0,20
w0!1663301,3784719.0,0.0,16200,22475.0,5
w0!1663316,3792620.0,0.0,359400,1842.0,1
w0!1663317,3792906.0,60.0,359400,519956.0,1
w0!1663322,3793407.0,57.0,359400,493535.0,1
w0!1663323,3793453.0,54.0,1200,646968.0,20
w0!1663333,3793861.0,51.0,359400,441241.0,20
 
Fila Jobs n:,63,Size:,8,Current time:,3793925.0
w0!1663298,3784249.0,12.0,3600,173356.0,20
w0!1663301,3784719.0,0.0,16200,22539.0,5
w0!1663316,3792620.0,0.0,359400,1906.0,1
w0!1663317,3792906.0,60.0,359400,520020.0,1
w0!1663322,3793407.0,57.0,359400,493599.0,1
w0!1663323,3793453.0,54.0,1200,647032.0,20
w0!1663333,3793861.0,51.0,359400,441305.0,20
w0!1663335,3793925.0,48.0,359400,415321.0,28
 
Fila Jobs n:,64,Size:,9,Current time:,3803560.0
w0!1663298,3784249.0,12.0,3600,182991.0,20
w0!1663301,3784719.0,0.0,16200,32174.0,5
w0!1663316,3792620.0,0.0,359400,11541.0,1
w0!1663317,3792906.0,60.0,359400,529655.0,1
w0!1663322,3793407.0,57.0,359400,503234.0,1
w0!1663323,3793453.0,54.0,1200,656667.0,20
w0!1663333,3793861.0,51.0,359400,450940.0,20
w0!1663335,3793925.0,48.0,359400,424956.0,28
w0!1663398,3803560.0,45.0,359400,389401.0,2
 
Fila Jobs n:,65,Size:,9,Current time:,3804455.4
w0!1663298,3784249.0,12.0,3600,183886.0,20
w0!1663301,3784719.0,0.0,16200,33070.0,5
w0!1663316,3792620.0,0.0,359400,12436.0,1
w0!1663317,3792906.0,60.0,359400,530550.0,1
w0!1663322,3793407.0,57.0,359400,504129.0,1
w0!1663323,3793453.0,54.0,1200,657562.0,20
w0!1663333,3793861.0,51.0,359400,451835.0,20
w0!1663335,3793925.0,48.0,359400,425851.0,28
w0!1663398,3803560.0,45.0,359400,390296.0,2
 
Fila Jobs n:,66,Size:,9,Current time:,3804802.0
w0!1663298,3784249.0,12.0,3600,184233.0,20
w0!1663301,3784719.0,0.0,16200,33416.0,5
w0!1663316,3792620.0,0.0,359400,12783.0,1
w0!1663317,3792906.0,60.0,359400,530897.0,1
w0!1663322,3793407.0,57.0,359400,504476.0,1
w0!1663323,3793453.0,54.0,1200,657909.0,20
w0!1663333,3793861.0,51.0,359400,452182.0,20
w0!1663335,3793925.0,48.0,359400,426198.0,28
w0!1663398,3803560.0,45.0,359400,390643.0,2
 
Fila Jobs n:,67,Size:,9,Current time:,3806666.4
w0!1663298,3784249.0,12.0,3600,186097.0,20
w0!1663301,3784719.0,0.0,16200,35281.0,5
w0!1663316,3792620.0,0.0,359400,14647.0,1
w0!1663317,3792906.0,60.0,359400,532761.0,1
w0!1663322,3793407.0,57.0,359400,506340.0,1
w0!1663323,3793453.0,54.0,1200,659773.0,20
w0!1663333,3793861.0,51.0,359400,454046.0,20
w0!1663335,3793925.0,48.0,359400,428062.0,28
w0!1663398,3803560.0,45.0,359400,392507.0,2
 
Fila Jobs n:,68,Size:,9,Current time:,3825351.7
w0!1663298,3784249.0,12.0,3600,204783.0,20
w0!1663301,3784719.0,0.0,16200,53966.0,5
w0!1663316,3792620.0,0.0,359400,33333.0,1
w0!1663317,3792906.0,60.0,359400,551447.0,1
w0!1663322,3793407.0,57.0,359400,525026.0,1
w0!1663323,3793453.0,54.0,1200,678459.0,20
w0!1663333,3793861.0,51.0,359400,472732.0,20
w0!1663335,3793925.0,48.0,359400,446748.0,28
w0!1663398,3803560.0,45.0,359400,411193.0,2
 
Fila Jobs n:,69,Size:,4,Current time:,3825367.6
w0!1663323,3793453.0,54.0,1200,678475.0,20
w0!1663333,3793861.0,51.0,359400,472748.0,20
w0!1663335,3793925.0,48.0,359400,446764.0,28
w0!1663398,3803560.0,45.0,359400,411209.0,2
 
Fila Jobs n:,70,Size:,4,Current time:,3825453.6
w0!1663323,3793453.0,54.0,1200,678561.0,20
w0!1663333,3793861.0,51.0,359400,472834.0,20
w0!1663335,3793925.0,48.0,359400,446850.0,28
w0!1663398,3803560.0,45.0,359400,411295.0,2
 
Fila Jobs n:,71,Size:,4,Current time:,3825727.7
w0!1663323,3793453.0,54.0,1200,678835.0,20
w0!1663333,3793861.0,51.0,359400,473108.0,20
w0!1663335,3793925.0,48.0,359400,447124.0,28
w0!1663398,3803560.0,45.0,359400,411569.0,2
 
Fila Jobs n:,72,Size:,4,Current time:,3828951.7
w0!1663323,3793453.0,54.0,1200,682059.0,20
w0!1663333,3793861.0,51.0,359400,476332.0,20
w0!1663335,3793925.0,48.0,359400,450348.0,28
w0!1663398,3803560.0,45.0,359400,414793.0,2
 
Fila Jobs n:,73,Size:,3,Current time:,3828994.7
w0!1663333,3793861.0,51.0,359400,476375.0,20
w0!1663335,3793925.0,48.0,359400,450391.0,28
w0!1663398,3803560.0,45.0,359400,414836.0,2
 
Fila Jobs n:,74,Size:,2,Current time:,3829024.2
