id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1662318,2988699.0,60.0,359400,519001.0,1
w0!1662267,2960061.0,0.0,359400,29239.0,20
w0!1662277,2965900.0,0.0,43200,27799.0,20
w0!1662285,2967328.0,0.0,46800,25986.0,1
 
Fila Jobs n:,29,Size:,3,Current time:,3004342.0
w0!1662267,2960061.0,0.0,359400,44882.0,20
w0!1662277,2965900.0,0.0,43200,43442.0,20
w0!1662285,2967328.0,0.0,46800,41629.0,1
 
Fila Jobs n:,30,Size:,3,Current time:,3008484.7
w0!1662267,2960061.0,0.0,359400,49025.0,20
w0!1662277,2965900.0,0.0,43200,47585.0,20
w0!1662285,2967328.0,0.0,46800,45772.0,1
 
Fila Jobs n:,31,Size:,2,Current time:,3012567.9
w0!1662277,2965900.0,0.0,43200,51668.0,20
w0!1662285,2967328.0,0.0,46800,49855.0,1
 
Fila Jobs n:,32,Size:,2,Current time:,3140951.0
w0!1662686,3129380.0,60.0,1200,709971.0,28
w0!1662700,3140951.0,21.0,359400,182041.0,1
 
Fila Jobs n:,33,Size:,3,Current time:,3141820.0
w0!1662686,3129380.0,60.0,1200,710840.0,28
w0!1662701,3141820.0,57.0,359400,493081.0,1
w0!1662700,3140951.0,21.0,359400,182910.0,1
 
Fila Jobs n:,34,Size:,3,Current time:,3143882.3
w0!1662686,3129380.0,60.0,1200,712902.0,28
w0!1662701,3141820.0,57.0,359400,495143.0,1
w0!1662700,3140951.0,21.0,359400,184972.0,1
 
Fila Jobs n:,35,Size:,3,Current time:,3145031.2
w0!1662686,3129380.0,60.0,1200,714051.0,28
w0!1662701,3141820.0,57.0,359400,496292.0,1
w0!1662700,3140951.0,21.0,359400,186121.0,1
 
Fila Jobs n:,36,Size:,4,Current time:,3153689.0
w0!1662686,3129380.0,60.0,1200,722709.0,28
w0!1662701,3141820.0,57.0,359400,504950.0,1
w0!1662700,3140951.0,21.0,359400,194779.0,1
w0!1662708,3153689.0,0.0,359400,601.0,1
 
Fila Jobs n:,37,Size:,5,Current time:,3155168.0
w0!1662686,3129380.0,60.0,1200,724188.0,28
w0!1662701,3141820.0,57.0,359400,506429.0,1
w0!1662700,3140951.0,21.0,359400,196258.0,1
w0!1662709,3155168.0,0.0,7200,30000.0,39
w0!1662708,3153689.0,0.0,359400,2080.0,1
 
Fila Jobs n:,38,Size:,5,Current time:,3158520.2
w0!1662686,3129380.0,60.0,1200,727540.0,28
w0!1662701,3141820.0,57.0,359400,509781.0,1
w0!1662700,3140951.0,21.0,359400,199610.0,1
w0!1662709,3155168.0,0.0,7200,33352.0,39
w0!1662708,3153689.0,0.0,359400,5432.0,1
 
Fila Jobs n:,39,Size:,2,Current time:,3159720.2
