id,subtime,score,walltime,scoreQueue,qtdRecursos
w0!1659229,1400729.0,0.0,359400,1021.0,20
w0!1659230,1401104.0,0.0,359400,646.0,16
 
Fila Jobs n:,22,Size:,2,Current time:,2367729.0
w0!1661277,2367678.0,0.0,1200,180051.0,20
w0!1661278,2367729.0,0.0,1200,180000.0,20
 
Fila Jobs n:,23,Size:,3,Current time:,2369586.0
w0!1661277,2367678.0,0.0,1200,181908.0,20
w0!1661278,2367729.0,0.0,1200,181857.0,20
w0!1661280,2369586.0,0.0,1200,180000.0,1
 
Fila Jobs n:,24,Size:,4,Current time:,2370021.0
w0!1661277,2367678.0,0.0,1200,182343.0,20
w0!1661278,2367729.0,0.0,1200,182292.0,20
w0!1661280,2369586.0,0.0,1200,180435.0,1
w0!1661282,2370021.0,0.0,3600,60000.0,1
 
Fila Jobs n:,25,Size:,4,Current time:,2370739.8
w0!1661277,2367678.0,0.0,1200,183062.0,20
w0!1661278,2367729.0,0.0,1200,183011.0,20
w0!1661280,2369586.0,0.0,1200,181154.0,1
w0!1661282,2370021.0,0.0,3600,60719.0,1
 
Fila Jobs n:,26,Size:,3,Current time:,2370788.5
w0!1661278,2367729.0,0.0,1200,183060.0,20
w0!1661280,2369586.0,0.0,1200,181202.0,1
w0!1661282,2370021.0,0.0,3600,60768.0,1
 
Fila Jobs n:,27,Size:,2,Current time:,2960974.0
w0!1662267,2960061.0,0.0,359400,1514.0,20
w0!1662269,2960974.0,57.0,359400,493081.0,20
 
Fila Jobs n:,28,Size:,3,Current time:,2963421.0
w0!1662267,2960061.0,0.0,359400,3961.0,20
w0!1662269,2960974.0,57.0,359400,495528.0,20
w0!1662272,2963421.0,60.0,359400,519001.0,20
 
Fila Jobs n:,29,Size:,4,Current time:,2965900.0
w0!1662267,2960061.0,0.0,359400,6440.0,20
w0!1662269,2960974.0,57.0,359400,498007.0,20
w0!1662272,2963421.0,60.0,359400,521480.0,20
w0!1662277,2965900.0,0.0,43200,5000.0,20
 
Fila Jobs n:,30,Size:,5,Current time:,2967328.0
w0!1662267,2960061.0,0.0,359400,7868.0,20
w0!1662269,2960974.0,57.0,359400,499435.0,20
w0!1662272,2963421.0,60.0,359400,522908.0,20
w0!1662277,2965900.0,0.0,43200,6428.0,20
w0!1662285,2967328.0,0.0,46800,4615.0,1
 
Fila Jobs n:,31,Size:,5,Current time:,2983915.2
w0!1662267,2960061.0,0.0,359400,24455.0,20
w0!1662269,2960974.0,57.0,359400,516022.0,20
w0!1662272,2963421.0,60.0,359400,539495.0,20
w0!1662277,2965900.0,0.0,43200,23015.0,20
w0!1662285,2967328.0,0.0,46800,21203.0,1
 
Fila Jobs n:,32,Size:,4,Current time:,2987998.4
w0!1662269,2960974.0,57.0,359400,520105.0,20
w0!1662272,2963421.0,60.0,359400,543578.0,20
w0!1662277,2965900.0,0.0,43200,27098.0,20
w0!1662285,2967328.0,0.0,46800,25286.0,1
 
Fila Jobs n:,33,Size:,4,Current time:,2988699.0
w0!1662272,2963421.0,60.0,359400,544279.0,20
w0!1662277,2965900.0,0.0,43200,27799.0,20
w0!1662285,2967328.0,0.0,46800,25986.0,1
